"0","label","MainText"
"1","ham","dear jordan subscription successfully renewed thank continued support"
"2","ham","dear casey thank purchase order shipped soon"
"3","smishing","congratulation youve gift card click claim prize"
"4","smishing","new secure message bank click read"
"5","smishing","package delivery pending please provide personal information confirm delivery"
"6","ham","hi drew great meeting conference let catch coffee next week"
"7","ham","hi alex great meeting conference let catch coffee next week"
"8","smishing","alert unusual login attempt detected verify account clicking"
"9","smishing","subscription expire renew continue enjoying service"
"10","ham","hello alex weekly update project progress please review provide feedback"
"11","ham","dear john pleased inform upcoming webinar register secure spot"
"12","ham","dear sam thank purchase order shipped soon"
"13","ham","hi morgan please find attached report month performance review"
"14","ham","hi casey reminder project deadline next friday let ensure everything track"
"15","ham","hi john please find attached report month performance review"
"16","ham","please find attached minute last meeting let know question"
"17","ham","reminder meeting scheduled tomorrow please prepared update"
"18","smishing","important update email account setting avoid service interruption"
"19","smishing","dear jane account compromised click link reset password immediately"
"20","ham","hi jordan please find attached report month performance review"
"21","ham","welcome newsletter stay tuned latest update offer"
"22","ham","dear jane pleased inform upcoming webinar register secure spot"
"23","ham","hi taylor reminder project deadline next friday let ensure everything track"
"24","smishing","dear alex account compromised click link reset password immediately"
"25","ham","reminder meeting scheduled tomorrow pm please prepared update"
"26","smishing","congratulation youve gift card click claim prize"
"27","ham","hi taylor please find attached report month performance review"
"28","smishing","noticed unusual activity account log review recent transaction"
"29","ham","dear jordan thank purchase order shipped soon"
"30","ham","hi drew reminder project deadline next friday let ensure everything track"
"31","ham","hi casey great meeting conference let catch coffee next week"
"32","smishing","payment declined update billing information continue using service"
"33","ham","hi taylor great meeting conference let catch coffee next week"
"34","ham","hi jane please find attached report month performance review"
"35","ham","hello sam weekly update project progress please review provide feedback"
"36","ham","hi john reminder project deadline next friday let ensure everything track"
"37","ham","hi morgan reminder project deadline next friday let ensure everything track"
"38","ham","dear chris thank purchase order shipped soon"
"39","smishing","invoice attached please review pay promptly avoid penalty"
"40","ham","reminder meeting scheduled tomorrow pm please prepared update"
"41","smishing","dear drew account compromised click link reset password immediately"
"42","smishing","congratulation youve gift card click claim prize"
"43","smishing","dear john account compromised click link reset password immediately"
"44","ham","dear chris subscription successfully renewed thank continued support"
"45","ham","hello morgan weekly update project progress please review provide feedback"
"46","ham","hi jane reminder project deadline next friday let ensure everything track"
"47","smishing","congratulation youve gift card click claim prize"
"48","ham","hello drew weekly update project progress please review provide feedback"
"49","ham","reminder meeting scheduled tomorrow pm please prepared update"
"50","ham","dear sam subscription successfully renewed thank continued support"
"51","ham","hello taylor weekly update project progress please review provide feedback"
"52","ham","dear morgan pleased inform upcoming webinar register secure spot"
"53","ham","dear chris pleased inform upcoming webinar register secure spot"
"54","ham","hi chris please find attached report month performance review"
"55","ham","hi jane great meeting conference let catch coffee next week"
"56","ham","hi morgan great meeting conference let catch coffee next week"
"57","ham","dear alex pleased inform upcoming webinar register secure spot"
"58","ham","hello casey weekly update project progress please review provide feedback"
"59","ham","hi sam please find attached report month performance review"
"60","ham","dear taylor subscription successfully renewed thank continued support"
"61","ham","hello john weekly update project progress please review provide feedback"
"62","ham","dear morgan thank purchase order shipped soon"
"63","ham","dear jordan pleased inform upcoming webinar register secure spot"
"64","ham","hi chris reminder project deadline next friday let ensure everything track"
"65","ham","hi casey please find attached report month performance review"
"66","ham","hello jordan weekly update project progress please review provide feedback"
"67","smishing","dear casey account compromised click link reset password immediately"
"68","ham","hi alex please find attached report month performance review"
"69","ham","dear sam pleased inform upcoming webinar register secure spot"
"70","smishing","dear sam account compromised click link reset password immediately"
"71","ham","dear drew subscription successfully renewed thank continued support"
"72","smishing","dear chris account compromised click link reset password immediately"
