word,frequency
call,74.3304403712712
com,73.56835722060795
please,64.68850404595639
link,54.03575748223447
https,51.21652922849392
free,50.94310074286315
http,48.20069502206909
account,45.29932493856148
reply,42.07677713862397
information,40.90730352626957
address,38.68589988386851
mobile,37.462250097830356
claim,36.259527631969156
due,35.38367014909255
customer,35.04085819204717
stop,33.76018764422591
text,31.305323277353274
prize,30.803090895052915
service,30.793908488448274
www,28.363319307239134
txt,27.84789245873476
contact,26.76740050436886
now,26.30285621836224
you,25.27758108234998
new,24.82129411113554
message,24.680253483158793
msg,23.97366228184504
open,23.83799032241545
ur,23.55659934937163
package,23.03645812986817
confirm,22.71379767778328
00,22.433612846473373
usps,22.325325955532563
receive,22.041299700387285
click,21.95524259431356
get,21.847019698066774
000,21.581093748878548
incomplete,21.134150252962534
update,21.076327172297113
number,20.884161490179373
urgent,20.337137626632448
irs,20.323559477297245
cash,19.994975680325524
tax,19.79661661958494
cannot,19.728697935868844
uk,19.50024345850404
delivery,18.2146515885951
100,18.213262314034964
refund,18.19020990238043
co,18.066231695707945
week,17.95038942842103
dear,17.41422405622424
guaranteed,17.354568570698387
card,17.246748189242588
delivered,17.235305056353212
here,17.076527935690745
info,17.017319152151504
code,16.82356130290544
help,16.7775661802926
phone,16.59801904265716
send,16.574797143611015
win,16.475382625601185
amazon,16.36939037233448
chat,16.139418553279263
today,16.105435744624156
day,16.085051924918773
gift,16.077906180696857
min,15.888926687735506
tone,15.80412683170569
visit,15.542201191618059
nokia,15.475227968368056
offer,15.170849639411328
browser,14.953303482062617
payment,14.527289415048278
per,14.252993298225546
us,14.054527684841439
arrived,14.039509957673594
warehouse,13.87661621529062
50,13.729042692634103
immediately,13.724043410353302
draw,13.529442938044266
copy,13.372520559593731
personal,13.24903297646064
team,13.24466456397906
video,13.08968641470584
paytm,12.942313386831112
attempt,12.899960947070385
apply,12.779051740225206
hi,12.725956603341205
order,12.645231376273568
500,12.600326652180739
within,12.587199593795887
alert,12.564445136482297
line,12.504167209603795
1000,12.485896269620476
awarded,12.471640175158184
150p,12.469989507417734
sm,12.157579905015119
selected,12.114614997349616
safari,12.074491728335063
sms,11.94219440130763
locked,11.732891612399305
it,11.57338759039046
voucher,11.530097036665653
rate,11.513867470747558
id,11.45350506227937
18,11.334682235371329
gov,11.308663180013623
process,11.280771354909774
verify,11.077814994646367
hold,10.998267809980987
10,10.904594050758229
provide,10.788507548384482
no,10.694991352457194
find,10.691544589439028
end,10.618022714243578
thanks,10.517124659343262
valid,10.509024856362316
latest,10.454780482792973
join,10.40863540478503
netflix,10.386403562876481
show,10.376758751306575
want,10.359335892644348
exit,10.320961701662572
time,10.28812212902767
award,10.2375019619387
16,10.20871704889861
ringtone,10.149930551357485
ly,10.120965750924727
me,9.96306206629327
thank,9.921111105586432
avoid,9.831516611048052
go,9.810400760630575
online,9.71809015584382
top,9.612210919879322
access,9.564854551606311
camera,9.518773430077935
holiday,9.50781392368938
re,9.40922660493158
reward,9.400793474570145
network,9.39529644671887
573,9.382876345412555
live,9.37416086176649
cost,9.356563591121162
billing,9.345353253289561
survey,9.332545565377513
bill,9.304484035135951
opt,9.287807607262003
paid,9.19222268203656
activate,9.126361683587712
chance,9.112141698680691
credit,9.009890903676395
cs,8.9177570868147
activity,8.906683797763497
winner,8.894968944699206
frm,8.888369563119747
750,8.820942757347236
login,8.819927878398257
every,8.8085623813884
home,8.759987003884916
unusual,8.650995812519012
follow,8.50731535388387
meet,8.461439292540739
24,8.412585721588734
valued,8.394781245703067
detail,8.368018034058252
waiting,8.305127098218485
tried,8.258391945140962
last,8.250846197928677
debit,8.235155722368063
rs,8.218814167351864
take,8.211145526692448
hour,8.198654469771645
bonus,8.172861687602106
08000930705,8.074351812920867
special,7.97911998350143
we,7.925995717562428
2000,7.877981893974495
12hrs,7.866885937631525
final,7.835644968918805
collect,7.82234736973719
bank,7.8006206612637685
unsubscribe,7.794882275347522
12,7.750078615781011
landline,7.744280382269189
whatsapp,7.743912357393615
150ppm,7.716475540019624
app,7.686450783001864
weekly,7.680884757060664
pdf,7.6573694444362035
