word,frequency
call,104.13932409788072
ok,72.87411301929282
get,71.35681495720425
please,67.25554007389835
com,58.886878730924046
you,57.72661322407816
come,54.88557965548838
now,54.818736101745
ll,54.4309053968213
ur,54.06954597651868
free,53.1355182795192
go,52.248107835554755
good,51.418793821959696
know,50.33312387447437
time,50.30108607846037
day,49.25831324694453
got,45.519315114394026
home,44.94341725506568
like,44.92317736458808
want,44.436005568127335
lt,44.30315804561464
gt,44.27213874834352
me,44.1253695700468
link,42.49029253676104
sorry,41.66536032011402
going,40.58052681040832
today,40.43893937181326
lor,39.98742568734613
https,39.59156156655047
text,39.56773925356843
dear,39.12722072591203
reply,38.79647534986983
need,38.71068528111125
it,38.12126246054276
account,37.32088613647196
still,37.20384461675777
http,36.98877683683226
one,36.02734754041463
back,36.00208128852283
later,35.95264069725054
love,35.755891727494415
see,34.95998483474579
new,34.79750431589868
da,34.63721122776055
send,34.28531086634327
address,34.281139794264334
take,34.111193328434226
information,33.50578584478978
message,32.66102049457783
stop,32.53721024229025
number,32.430282658647904
mobile,32.3513953712111
work,31.614419496978652
hi,31.374154509259945
msg,31.290370091193807
dont,31.085526970730218
tell,31.04617921405016
customer,30.90097304769775
think,30.614404800633235
oh,30.579874002408626
due,29.331465036635777
hey,29.289752903575636
week,29.28968745330258
that,29.05683135397054
phone,28.819393762694165
claim,28.334916961938323
night,27.7317276406781
well,27.70016505402246
great,27.617834318088427
make,26.932095715379994
hope,26.906100072854173
co,26.73496877287767
much,25.869095325984627
wat,25.823604165843264
yes,25.652781909332653
say,25.493136681499685
prize,25.249905358149842
way,25.226107294485743
here,25.088972998388286
service,25.079721319682243
there,24.911985441255258
thanks,24.88501215080996
meet,24.813201300224268
txt,24.477185826949402
pls,24.35151752737712
contact,23.91850152293833
yeah,23.88344843568012
right,23.42042290222338
happy,23.26192941797363
no,23.0814080657246
give,22.91089802192904
tomorrow,22.800470230215396
let,22.566918196781245
min,22.5435914437575
ask,22.329844665677136
www,22.2633573088944
anything,21.992725619248148
lol,21.687870250607222
ve,21.491347294676444
help,21.234277546247725
open,21.13367230026943
confirm,20.87864088971134
already,20.852531278908756
care,20.77530898357909
can,20.276112350129935
pick,20.066139953707502
sent,19.977172763891748
last,19.94831050024261
update,19.847182930513913
find,19.60497231415915
urgent,19.54663517233944
we,19.400094447046122
00,19.28403534773704
soon,19.21918482979767
receive,18.834799661580835
really,18.83463784995494
package,18.808597395882877
click,18.738730536530934
thing,18.709878478185047
cash,18.576318336170768
said,18.510504561119347
wish,18.483290137850034
year,18.480453132140543
babe,18.476705097594223
sure,18.417343764826914
usps,18.33244220405211
also,18.27223145818323
morning,17.91591496452599
re,17.82400325217526
tonight,17.780833053272527
buy,17.75991979127499
could,17.643034421807684
waiting,17.513450796303406
irs,17.385274123737325
tax,17.343991314725972
friend,17.29631716469637
000,17.19218732810758
how,17.164788949891612
meeting,16.9610177347375
hour,16.897199234484493
im,16.820217884682386
late,16.71810321803658
incomplete,16.664410510055042
cannot,16.648021127651702
talk,16.50761447689797
keep,16.46120357094012
wait,16.403951260003534
ya,16.396956132803705
bit,16.24042334388368
fine,16.141701713388404
leave,16.133836327101974
place,16.133125238541787
around,16.1165155879615
card,16.069106368015227
next,16.044507488716263
something,16.000121697620457
chat,15.873942914352602
refund,15.855507473070745
cant,15.646571725672834
would,15.577576314983318
miss,15.537155503073828
coming,15.352788991754869
win,15.330560404379982
thank,15.11226628275638
every,15.104813995951494
nice,15.097165819066516
guy,15.083743862656485
100,15.083545231045349
uk,14.997714449891138
use,14.958772520839817
money,14.951989569017986
gonna,14.939611814666941
first,14.924197061833397
yup,14.885975347977906
guaranteed,14.742875503859127
done,14.682734889921374
may,14.668795445907554
life,14.631717149337193
haha,14.607428826461911
again,14.598185299635789
show,14.494718126797755
dun,14.439849752288808
online,14.431262046053538
out,14.430076647724565
per,14.381489194821754
plan,14.236921196327367
many,14.159399328148822
hello,14.158225503388762
trying,14.134065059297672
id,14.103352150347115
class,14.051082727446358
getting,14.046355782268371
sleep,14.027126958362912
job,14.000862776188557
feel,13.93921094651364
princess,13.809284241728573
dinner,13.762899792483093
then,13.640190234763512
cool,13.58902115992903
us,13.566459102551535
problem,13.538966465798493
tone,13.538273529376616
finish,13.533315138327422
ready,13.489303001344975
special,13.476277039596804
delivery,13.476188218168705
gift,13.464435922028928
code,13.437783450283145
up,13.337453106884468
sir,13.294210021141662
delivered,13.261899243737556
minute,13.194152489507598
best,13.18293603073235
yet,13.132979918634932
end,13.097893131034324
lot,13.084057072096318
nokia,13.015415823720907
info,12.757810425189172
watching,12.706680118701312
visit,12.68903150872205
told,12.662538089456138
sm,12.604184082814973
wan,12.574309106436274
name,12.542328669233342
try,12.485669205009295
check,12.47573051502392
payment,12.398282087393811
always,12.396181422581208
went,12.320742547282567
in,12.233969501553066
selected,12.161977757983248
long,12.090543781617233
stuff,12.041414230757379
hold,12.005603422877053
live,11.977494808474207
offer,11.964333916673507
busy,11.925056199721501
amazon,11.874133825138951
immediately,11.87267566192049
browser,11.855991618113613
draw,11.834703002535676
team,11.825004700236056
ill,11.819386994997101
house,11.81872576882373
half,11.815021829158283
order,11.813264279319926
lunch,11.776979618946598
copy,11.766038783926735
yo,11.686890324550099
thought,11.680157232609483
mean,11.66738780642411
he,11.626118403914468
even,11.607595402400687
personal,11.586920768243822
within,11.551247284664647
do,11.480724291160897
office,11.47455691956999
attempt,11.395332003403082
pa,11.392848253320274
line,11.347764648868871
thk,11.263988184250229
people,11.2573008325393
50,11.229455062448471
arrived,11.20289499995327
paytm,11.191567066204724
wonderful,11.153241381548272
thanx,11.134830280547694
fun,11.117168442832261
what,11.11026397733061
look,11.076270188280423
weekend,11.041812696977136
join,11.034268099697881
nothing,10.981112053428758
someone,10.925991904688507
enjoy,10.900366226526637
guess,10.8896509233888
10,10.83819782759048
man,10.83801866676114
god,10.81179445945828
month,10.764309553252714
thats,10.700989775968411
lar,10.700060933590104
person,10.686737473784387
only,10.669112665861206
heart,10.657306157486785
looking,10.645216242945686
better,10.62798587209803
probably,10.60239814101586
process,10.600536013677688
tv,10.593930393062077
pay,10.584865341115174
start,10.569701689301176
warehouse,10.54465933170937
birthday,10.51891796400298
shall,10.496544803475754
car,10.466795378514188
shopping,10.457372184854393
awarded,10.422723791949933
little,10.38421159224294
aight,10.357693660966174
1000,10.319255628601876
so,10.292250764858393
mind,10.250046884586332
wanna,10.24793151589916
video,10.233988226922966
sms,10.175404103871019
150p,10.173733479584055
watch,10.151732964158446
remember,10.149961384489375
eat,10.12590203785069
reach,10.084946230267892
holiday,10.07525243119403
chance,10.054613411894037
de,10.048913881774386
never,9.980527936618635
gud,9.95139488144566
big,9.905793125664697
room,9.894718193960394
forgot,9.87855457337783
girl,9.826737097018848
amp,9.803077456454933
word,9.769911231359997
evening,9.75619634869516
early,9.75015963189149
alert,9.686901669772041
