0,label,MainText
1,ham,dear jordan subscription successfully renewed thank continued support
2,ham,dear casey thank purchase order shipped soon
6,ham,hi drew great meeting conference let catch coffee next week
7,ham,hi alex great meeting conference let catch coffee next week
10,ham,hello alex weekly update project progress please review provide feedback
11,ham,dear john pleased inform upcoming webinar register secure spot
12,ham,dear sam thank purchase order shipped soon
13,ham,hi morgan please find attached report month performance review
14,ham,hi casey reminder project deadline next friday let ensure everything track
15,ham,hi john please find attached report month performance review
16,ham,please find attached minute last meeting let know question
17,ham,reminder meeting scheduled tomorrow please prepared update
20,ham,hi jordan please find attached report month performance review
21,ham,welcome newsletter stay tuned latest update offer
22,ham,dear jane pleased inform upcoming webinar register secure spot
23,ham,hi taylor reminder project deadline next friday let ensure everything track
25,ham,reminder meeting scheduled tomorrow pm please prepared update
27,ham,hi taylor please find attached report month performance review
29,ham,dear jordan thank purchase order shipped soon
30,ham,hi drew reminder project deadline next friday let ensure everything track
31,ham,hi casey great meeting conference let catch coffee next week
33,ham,hi taylor great meeting conference let catch coffee next week
34,ham,hi jane please find attached report month performance review
35,ham,hello sam weekly update project progress please review provide feedback
36,ham,hi john reminder project deadline next friday let ensure everything track
37,ham,hi morgan reminder project deadline next friday let ensure everything track
38,ham,dear chris thank purchase order shipped soon
44,ham,dear chris subscription successfully renewed thank continued support
45,ham,hello morgan weekly update project progress please review provide feedback
46,ham,hi jane reminder project deadline next friday let ensure everything track
48,ham,hello drew weekly update project progress please review provide feedback
50,ham,dear sam subscription successfully renewed thank continued support
51,ham,hello taylor weekly update project progress please review provide feedback
52,ham,dear morgan pleased inform upcoming webinar register secure spot
53,ham,dear chris pleased inform upcoming webinar register secure spot
54,ham,hi chris please find attached report month performance review
55,ham,hi jane great meeting conference let catch coffee next week
56,ham,hi morgan great meeting conference let catch coffee next week
57,ham,dear alex pleased inform upcoming webinar register secure spot
58,ham,hello casey weekly update project progress please review provide feedback
59,ham,hi sam please find attached report month performance review
60,ham,dear taylor subscription successfully renewed thank continued support
61,ham,hello john weekly update project progress please review provide feedback
62,ham,dear morgan thank purchase order shipped soon
63,ham,dear jordan pleased inform upcoming webinar register secure spot
64,ham,hi chris reminder project deadline next friday let ensure everything track
65,ham,hi casey please find attached report month performance review
66,ham,hello jordan weekly update project progress please review provide feedback
68,ham,hi alex please find attached report month performance review
69,ham,dear sam pleased inform upcoming webinar register secure spot
71,ham,dear drew subscription successfully renewed thank continued support
73,ham,dear morgan subscription successfully renewed thank continued support
74,ham,dear taylor thank purchase order shipped soon
75,ham,dear alex subscription successfully renewed thank continued support
76,ham,hi jordan reminder project deadline next friday let ensure everything track
77,ham,hi drew please find attached report month performance review
78,ham,hello chris weekly update project progress please review provide feedback
79,ham,dear jane thank purchase order shipped soon
80,ham,dear alex thank purchase order shipped soon
81,ham,dear taylor pleased inform upcoming webinar register secure spot
82,ham,hi jordan great meeting conference let catch coffee next week
83,ham,hi john great meeting conference let catch coffee next week
85,ham,dear casey subscription successfully renewed thank continued support
87,ham,hi chris great meeting conference let catch coffee next week
88,ham,hello jane weekly update project progress please review provide feedback
91,ham,hi sam reminder project deadline next friday let ensure everything track
92,ham,dear drew thank purchase order shipped soon
93,ham,dear casey pleased inform upcoming webinar register secure spot
94,ham,dear john subscription successfully renewed thank continued support
95,ham,dear jane subscription successfully renewed thank continued support
96,ham,hi sam great meeting conference let catch coffee next week
98,ham,dear john thank purchase order shipped soon
99,ham,dear drew pleased inform upcoming webinar register secure spot
100,ham,hi alex reminder project deadline next friday let ensure everything track
101,ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
102,ham,whats want come online free talk sometime
103,ham,u workin overtime nigpun
