Unnamed: 0,label,MainText
1,ham,"opinion me? 1. 2. jada 3. kusruthi 4. lovable 5. silent 6. spl character 7. matured 8. stylish 9. simple pls reply.."
2,ham,"what's up? want come online? free talk sometime�"
3,ham,"u workin overtime nigpun?"
4,ham,"also sir, sent email log usc payment portal. i.ll send another message explain thing back home. great weekend."
5,phishing,"please stay home. encourage notion staying home. tax-paying citizen entitled �305.96 emergency refund. smsg.io/fcvbd"
6,phishing,"bankofamerica alert 137943. please follow http://bit.do/cgjk-and re-activate"
7,ham,"sorry dude. dont know forgot. even dan reminded me. sorry. hope guy fun."
8,ham,"quite know do. still can't get hold anyone. cud pick bout 7.30pm see they're pub?"
9,ham,"ok lor. anyway thk cant get ticket co like quite late already. u wan 2 go look 4 ur frens not? darren wif now..."
10,ham,"wat r u now?"
11,ham,"buy one egg da..please:)"
12,ham,"reason we've spoken year? anyways great week best exam"
13,ham,"stop story. i've told i've returned he's saying order it."
14,ham,"no. dont want hear anything"
15,ham,"waqt se pehle naseeb se zyada kisi ko kuch nahi milta,zindgi wo nahi jo hum sochte hai zindgi wo hai jo ham jeetey hai.........."
16,ham,"i'm e person who's e sm survey..."
17,ham,"mm food da"
18,ham,"4 taco + 1 raja burrito, right?"
19,ham,"house-maid murderer, coz man murdered 26th january.."
20,ham,"yes! pretty lady like single?"
21,ham,"(that said text one time?)"
22,ham,"know called"
23,ham,"sch neva mind u eat 1st lor.."
24,phishing,"lyricalladie(21/f) inviting friend. reply yes-910 no-910. see her: www.sms.ac/u/hmmross stop? send stop frnd 62468"
25,ham,"jay say double-faggot"
26,ham,"ok thk got it. u wan 2 come wat?"
27,phishing,"ur awarded city break could win £200 summer shopping spree every wk. txt store 88039 . skilgme. tscs087147403233"
28,phishing,"hello orange. 1 month's free access games, news sport, plus 10 free text 20 photo messages, reply yes. term apply: www.orange.co.uk/ow"
29,ham,"oh... lk tt den take e one tt end cine lor... dun wan yogasana oso can..."
30,ham,"whens radio show?"
31,ham,"jane babe goin 2 wrk, feel ill lst nite. foned already cover 4 chuck.:-)"
32,phishing,"new offer! save upto 40\% electricity bill power saver(govt. lab tested), rs. 1050/-(free home delivery) 3 yr. guarantee call 9891943823,9891943780"
33,ham,"* u wearing?"
34,ham,"turn stereo love mi phone unknown album."
35,ham,"ela kano.,il download, come wen ur free.."
36,ham,"haha figures, well found piece priscilla's bowl"
37,ham,"online transaction?"
38,ham,"ü neva tell noe... i'm home da aft wat..."
39,phishing,"won! valued vodafone customer computer picked win £150 prize. collect easy. call 09061743386"
40,phishing,"recieve tone within next 24hrs. term condition please see channel u teletext pg 750"
41,ham,"doing?how you?"
42,ham,"get second half message"
43,phishing,"phony £350 award - today voda number ending xxxx selected receive £350 award. match please call 08712300220 quoting claim code 3100 standard rate app"
44,ham,"help u swoop picking u wherever ur bird r meeting u want."
45,ham,"ok lor�whats up�"
46,ham,"hello madam ?"
47,ham,"actually sleeping still might u call back. text gr8. rock sis. send u text wen wake."
48,ham,"good. think could send pix? would love see top bottom..."
49,phishing,"apple id: [buxcx7gbvwwccod final notification apple 1d due expire today. prevent confirming apple id at�http://verifyapple.uk apple inc"
50,ham,"hey mate! hows u honey?did u ave good holiday? gimmi de goss!x"
51,ham,"anybody's number, still thought tactful way ask alex"
52,ham,"i'm taking derek &amp; taylor walmart, i'm back time done leave mouse desk i'll text priscilla's ready"
53,ham,"ok..let knw"
54,ham,"bad girl. lady."
55,phishing,"today voda number ending 7548 selected receive $350 award. match please call 08712300220 quoting claim code 4041 standard rate app"
